Code;Description
FAB00870;Floor Layer
FAB00871;Floor Manager
FAB00872;Floor Tiler
FAB00873;Floorman
FAC02785;Floorman - Oil Rig Industry 
FAC02786;Florist 
FAB00874;Flour Confectioner
OC7515;Food and beverage taster and grader
OC8160;Food and related products machine operator
OC5246;Food service counter attendant
FAB00876;Food Technologist
FAC02787;Football Manager - Professional players
FAC02788;Forecourt Attendant 
FAD03139;Foreman - heavy manual
FAD03140;Foreman - light manual
FAD03141;Foreman - no manual
FAD03142;Foreman - offshore
FAD03143;Foreman - other
FAB00937;Forest Ranger
FAB00938;Forest Worker
FAB00940;Forestry Officer
OC3143;Forestry technician
FAB00941;Forge Hammerman
FAB00942;Forge Pressman
FAB00943;Forger
FAB00944;Fork Lift Truck Driver
FAB00945;Fortune Teller
FAD03136;Foster Parent
FAB00946;Frame Finisher
FAB00947;Freezer Operator
FAB00948;Freight Clerk
OC9333;Freight handler
FAB00949;Freight Manager - Airport
FAB00950;Freight Manager - Docks
FAB00951;French Polisher
OC7514;Fruit, vegetable and related preserver
FAC02793;Fruitier
FAB00952;Fuel Technologist
OC7544;Fumigators and other pest and weed controller
